X,Y,Z,Ω,θ,KHz
79,-60,0,362.669,-0.8416,64
62,-77,0,359.741,-0.8369,65
42,-90,0,356.453,-0.8313,66
20,-97,0,353.784,-0.8303,67
-3,-99,0,351.663,-0.8258,68
-27,-96,0,349.593,-0.8214,69
-49,-87,0,346.331,-0.8189,70
-68,-72,0,342.913,-0.814,71
-83,-54,0,341.717,-0.8141,72
-94,-33,0,339.411,-0.8071,73
-99,-9,0,336.179,-0.8042,74
-99,13,0,334.946,-0.8001,75
-92,36,0,331.906,-0.7988,76
-81,57,0,330.636,-0.7933,77
-65,75,0,328.589,-0.7902,78
-45,89,0,326.551,-0.7868,79
-22,97,0,324.65,-0.7843,80
0,99,0,322.737,-0.7811,81
24,96,0,320.792,-0.7777,82
46,88,0,319.084,-0.7745,83
66,74,0,317.164,-0.7721,84
82,56,0,315.457,-0.7681,85
93,35,0,313.64,-0.7663,86
99,11,0,312.428,-0.7624,87
99,-12,0,310.061,-0.7593,88
93,-35,0,309.223,-0.759,89
82,-56,0,307.412,-0.7529,90
66,-74,0,305.589,-0.7535,91
47,-88,0,304.041,-0.7492,92
25,-96,0,302.839,-0.7459,93
1,-99,0,301.197,-0.7443,94
-22,-97,0,299.965,-0.7404,95
-44,-89,0,298.285,-0.739,96
-64,-76,0,297.251,-0.7355,97
-80,-58,0,295.856,-0.735,98
-92,-37,0,294.823,-0.731,99
-98,-14,0,293.414,-0.7299,100
-99,8,0,291.671,-0.7262,101
-94,32,0,291.063,-0.7244,102
-84,53,0,289.867,-0.7223,103
-68,72,0,288.164,-0.7192,104
-49,86,0,287.59,-0.7165,105
-26,96,0,285.708,-0.7125,106
-3,99,0,284.57,-0.7113,107
20,97,0,283.894,-0.71,108
43,90,0,282.594,-0.7076,109
63,77,0,281.628,-0.704,110
80,59,0,280.497,-0.7023,111
92,38,0,279.512,-0.7008,112
98,16,0,278.612,-0.6983,113
99,-7,0,277.565,-0.6961,114
94,-31,0,276.532,-0.6936,115
84,-53,0,275.593,-0.6915,116
69,-71,0,274.601,-0.6888,117
51,-86,0,273.742,-0.6866,118
29,-95,0,272.773,-0.6849,119
6,-99,0,272.023,-0.6821,120
-18,-98,0,271.024,-0.6799,121
-40,-91,0,270.148,-0.679,122
-61,-79,0,269.429,-0.6759,123
-78,-62,0,268.542,-0.6733,124
-90,-42,0,267.682,-0.6712,125
-98,-19,0,266.75,-0.6689,126
-99,4,0,265.947,-0.6662,127
-96,27,0,0.0,-0.0062,3
-87,48,0,0.0,-0.0062,4
-72,68,0,0.0,-0.0062,5
-53,84,0,0.0,-0.0062,6
-31,95,0,0.0,-0.0062,7
-6,99,0,0.0,-0.0062,8
17,98,0,0.0,-0.0062,9
41,91,0,0.0,-0.0062,10
62,78,0,0.0,-0.0062,11
79,60,0,0.0,-0.0062,12
92,38,0,0.0,-0.0062,13
98,14,0,0.0,-0.0062,14
99,-10,0,975.728,-1.1829,15
94,-33,0,921.292,-1.1563,16
83,-54,0,875.962,-1.154,17
68,-73,0,836.166,-1.1439,18
49,-87,0,802.931,-1.1199,19
27,-96,0,776.17,-1.1208,20
3,-99,0,748.519,-1.1176,21
-19,-97,0,714.765,-1.1015,22
-42,-90,0,696.762,-1.1025,23
-62,-77,0,678.249,-1.0828,24
-79,-60,0,656.024,-1.0798,25
-91,-40,0,637.261,-1.0684,26
-98,-17,0,618.852,-1.0619,27
-99,6,0,606.123,-1.0543,28
-95,29,0,590.884,-1.043,29
-85,51,0,575.125,-1.0309,30
-70,70,0,561.984,-1.0247,31
-51,85,0,551.786,-1.0209,32
-29,95,0,539.213,-1.0115,33
-6,99,0,528.656,-1.0028,34
17,98,0,518.048,-0.9973,35
40,91,0,509.692,-0.9911,36
60,79,0,500.456,-0.9825,37
78,62,0,491.86,-0.9762,38
90,41,0,483.998,-0.9694,39
98,19,0,476.236,-0.9634,40
99,-4,0,469.178,-0.9565,41
95,-28,0,461.535,-0.9508,42
86,-50,0,456.117,-0.9432,43
72,-69,0,448.54,-0.9374,44
53,-84,0,442.643,-0.934,45
32,-94,0,437.756,-0.9247,46
9,-99,0,432.454,-0.9218,47
-14,-98,0,425.534,-0.9157,48
-37,-92,0,421.068,-0.9098,49
-58,-81,0,415.983,-0.9029,50
-75,-65,0,411.642,-0.9032,51
-89,-45,0,407.258,-0.8955,52
-97,-23,0,402.229,-0.8885,53
-99,0,0,396.845,-0.8858,54
-97,24,0,394.282,-0.8783,55
-88,46,0,390.507,-0.8749,56
-74,66,0,386.216,-0.8719,57
-56,82,0,383.153,-0.8677,58
-35,93,0,378.962,-0.8596,59
-12,99,0,375.783,-0.8586,60
11,99,0,372.865,-0.853,61
34,93,0,370.075,-0.8487,62
55,83,0,366.175,-0.843,63
73,67,0,363.297,-0.8407,64
87,47,0,360.348,-0.8371,65
96,25,0,358.131,-0.8333,66
99,1,0,353.834,-0.829,67
97,-21,0,351.667,-0.8261,68
89,-44,0,349.74,-0.8232,69
76,-64,0,348.024,-0.8211,70
59,-80,0,344.266,-0.8146,71
38,-92,0,342.946,-0.8097,72
15,-98,0,340.101,-0.808,73
-8,-99,0,336.896,-0.8058,74
-31,-95,0,334.748,-0.8015,75
-52,-84,0,333.032,-0.7954,76
-71,-70,0,330.705,-0.7936,77
-85,-51,0,328.809,-0.7911,78
-95,-29,0,326.653,-0.7875,79
-99,-5,0,324.914,-0.7844,80
-98,18,0,322.725,-0.781,81
-91,40,0,320.97,-0.778,82
-78,61,0,319.203,-0.7747,83
-62,78,0,317.604,-0.7715,84
-41,90,0,316.048,-0.7691,85
-18,98,0,313.889,-0.7663,86
4,99,0,312.697,-0.7635,87
27,96,0,310.076,-0.7607,88
50,86,0,309.292,-0.7552,89
69,72,0,307.262,-0.7567,90
84,53,0,305.841,-0.7506,91
94,31,0,304.236,-0.7492,92
99,8,0,303.169,-0.7479,93
98,-15,0,302.028,-0.7435,94
92,-38,0,299.699,-0.7405,95
80,-59,0,298.872,-0.7398,96
64,-76,0,297.825,-0.7367,97
44,-89,0,295.939,-0.7329,98
22,-97,0,294.527,-0.731,99
-1,-99,0,293.253,-0.7301,100
-24,-96,0,291.953,-0.7259,101
-46,-88,0,290.623,-0.7236,102
-66,-74,0,289.435,-0.7228,103
-82,-56,0,288.509,-0.7212,104
-93,-36,0,286.932,-0.7144,105
-99,-12,0,285.51,-0.7138,106
-99,10,0,285.28,-0.7122,107
-94,33,0,283.84,-0.71,108
-83,55,0,282.695,-0.7078,109
-67,73,0,281.53,-0.7057,110
-48,87,0,280.57,-0.7026,111
-26,96,0,279.561,-0.701,112
-2,99,0,278.52,-0.6993,113
20,97,0,277.666,-0.6965,114
43,90,0,276.837,-0.6943,115
63,77,0,275.617,-0.6919,116
80,59,0,274.781,-0.6894,117
92,38,0,273.723,-0.6876,118
98,15,0,272.904,-0.6854,119
99,-7,0,272.055,-0.6826,120
94,-31,0,271.163,-0.6807,121
84,-53,0,270.44,-0.6746,122
69,-71,0,269.297,-0.6765,123
51,-85,0,268.64,-0.6741,124
29,-95,0,267.92,-0.6717,125
6,-99,0,266.949,-0.6696,126
-17,-98,0,266.204,-0.666,127
-40,-91,0,0.0,-0.006,3
-60,-79,0,0.0,-0.006,4
-77,-62,0,0.0,-0.006,5
-90,-41,0,0.0,-0.006,6
-98,-18,0,0.0,-0.006,7
-99,6,0,0.0,-0.006,8
-95,30,0,0.0,-0.006,9
-84,53,0,0.0,-0.006,10
-69,72,0,0.0,-0.006,11
-49,87,0,0.0,-0.006,12
-25,96,0,0.0,-0.006,13
-1,99,0,0.0,-0.006,14
22,97,0,979.884,-1.1769,15
45,89,0,928.439,-1.1614,16
65,75,0,882.012,-1.153,17
81,57,0,839.695,-1.1456,18
93,36,0,808.052,-1.1459,19
99,13,0,773.308,-1.1131,20
99,-10,0,749.228,-1.1181,21
94,-33,0,720.945,-1.099,22
83,-55,0,693.422,-1.1026,23
68,-73,0,677.947,-1.0837,24
49,-87,0,656.119,-1.0762,25
27,-96,0,636.727,-1.0684,26
3,-99,0,620.381,-1.0621,27
-20,-97,0,603.983,-1.048,28
-42,-90,0,591.269,-1.0417,29
-62,-77,0,576.057,-1.0375,30
-79,-60,0,565.184,-1.0262,31
-91,-40,0,552.001,-1.0221,32
-98,-17,0,540.528,-1.0119,33
-99,6,0,529.673,-1.0035,34
-95,29,0,519.523,-0.9983,35
-85,51,0,510.709,-0.99,36
-70,70,0,501.183,-0.9847,37
-52,85,0,493.468,-0.9769,38
-29,95,0,485.258,-0.9713,39
-6,99,0,477.853,-0.9651,40
16,98,0,470.212,-0.9585,41
39,91,0,463.263,-0.9525,42
60,79,0,456.568,-0.9469,43
77,62,0,450.059,-0.9397,44
90,42,0,444.588,-0.9341,45
98,19,0,438.864,-0.9274,46
99,-4,0,433.064,-0.9208,47
96,-27,0,428.367,-0.9172,48
86,-49,0,422.874,-0.9133,49
72,-69,0,417.183,-0.9063,50
54,-83,0,411.972,-0.9024,51
32,-94,0,408.353,-0.8966,52
9,-99,0,403.691,-0.893,53
-14,-98,0,401.006,-0.8896,54
-37,-92,0,396.028,-0.8808,55
-58,-81,0,391.633,-0.8776,56
-75,-65,0,388.007,-0.8751,57
-88,-45,0,384.957,-0.8706,58
-97,-23,0,381.272,-0.8659,59
-99,0,0,377.693,-0.861,60
-97,23,0,373.906,-0.8575,61
-88,46,0,370.294,-0.8503,62
-75,65,0,367.391,-0.8491,63
-57,81,0,365.069,-0.8434,64
-36,93,0,361.675,-0.8402,65
-13,99,0,359.702,-0.8372,66
10,99,0,355.026,-0.8311,67
33,94,0,353.436,-0.8278,68
54,83,0,350.375,-0.8233,69
73,68,0,348.39,-0.8197,70
87,48,0,345.505,-0.8167,71
96,26,0,343.301,-0.8185,72
99,2,0,340.327,-0.8095,73
97,-20,0,338.845,-0.8058,74
90,-43,0,336.873,-0.798,75
77,-63,0,334.151,-0.7993,76
60,-79,0,331.828,-0.7974,77
39,-91,0,330.14,-0.7932,78
17,-98,0,327.989,-0.7896,79
-6,-99,0,326.16,-0.7867,80
-30,-95,0,324.134,-0.784,81
-51,-85,0,322.295,-0.7805,82
-70,-71,0,320.458,-0.7775,83
-85,-52,0,318.55,-0.7751,84
-95,-30,0,317.185,-0.772,85
-99,-7,0,315.321,-0.7683,86
-98,16,0,313.738,-0.7667,87
-92,38,0,311.481,-0.7627,88
-80,59,0,309.592,-0.7589,89
-63,77,0,309.229,-0.7577,90
-43,90,0,307.278,-0.7535,91
-20,97,0,305.823,-0.7524,92
2,99,0,303.768,-0.7484,93
25,96,0,302.874,-0.7447,94
48,87,0,301.323,-0.7431,95
67,73,0,299.863,-0.7409,96
