Z,θ,R,X,f,Re,Ri,Cm
466.6025,-0.3418,439.6108807094646,156.39746343243203,69,998,668,4.87
464.9088,-0.3384,438.5424448560559,154.3396137649475,70,998,668,4.87
463.1986,-0.3363,437.2511926133937,152.85397476063517,71,998,668,4.87
461.2498,-0.3331,435.89640494482705,150.81678340362296,72,998,668,4.87
459.8763,-0.3304,435.00280989818174,149.19372199384387,73,998,668,4.87
458.3975,-0.3279,433.9744237903645,147.62949401143095,74,998,668,4.87
456.8187,-0.325,432.90457289487176,145.86622445377355,75,998,668,4.87
455.5338,-0.3224,432.0636624053358,144.33306818372571,76,998,668,4.87
454.1118,-0.3201,431.04471733519244,142.8914922473135,77,998,668,4.87
452.7081,-0.3174,430.09536743863544,141.28906084136597,78,998,668,4.87
451.3579,-0.3149,429.1634385796646,139.79519619389077,79,998,668,4.87
450.1493,-0.3124,428.3614828977729,138.35039667493183,80,998,668,4.87
449.1337,-0.3095,427.7935524655396,136.79823443525717,81,998,668,4.87
447.752,-0.3078,426.7087277831574,135.65218441912123,82,998,668,4.87
446.6118,-0.3048,426.0261187857239,134.02927296532002,83,998,668,4.87
445.5373,-0.3026,425.2942719715031,132.77148760000816,84,998,668,4.87
444.4312,-0.3005,424.5156199959142,131.55067431573497,85,998,668,4.87
443.4117,-0.2977,423.9076413780838,130.0624745195936,86,998,668,4.87
442.4668,-0.296,423.22432775967394,129.06601990691468,87,998,668,4.87
441.4229,-0.2932,422.58470266092087,127.57878241067807,88,998,668,4.87
440.4397,-0.2911,421.90985056272046,126.408889458902,89,998,668,4.87
439.5871,-0.2889,421.3696624566922,125.23747860582023,90,998,668,4.87
438.4113,-0.2866,420.52875409004224,123.93560808406419,91,998,668,4.87
437.6274,-0.2845,420.0357025350205,122.8322019124943,92,998,668,4.87
437.0758,-0.2815,419.87241950195806,121.41831116932804,93,998,668,4.87
435.7985,-0.2792,418.92273269960924,120.10027739244303,94,998,668,4.87
434.9228,-0.2785,418.1647419434937,119.56626010364013,95,998,668,4.87
434.2412,-0.2755,417.86566205631675,118.12581534819604,96,998,668,4.87
433.3883,-0.2744,417.1743563535706,117.43498191711916,97,998,668,4.87
432.8277,-0.2722,416.89174385179376,116.3661969624357,98,998,668,4.87
432.0388,-0.2703,416.35183130502463,115.36324056818228,99,998,668,4.87
431.3552,-0.2681,415.94544362170615,114.2659026017039,100,998,668,4.87
645.8369,-0.0134,645.7789176307354,8.653955470533813,2,666,989,3.08
644.0218,-0.0321,643.6900252386681,20.669549668117757,3,666,989,3.08
643.3703,-0.0474,642.6476859826087,30.48433406339206,4,666,989,3.08
641.2875,-0.0603,640.1219636975202,38.646206130494804,5,666,989,3.08
639.2509,-0.0721,637.5900755220571,46.05006782391891,6,666,989,3.08
636.6123,-0.0835,634.3942791113946,53.095377783984965,7,666,989,3.08
633.4443,-0.0954,630.5639465782061,60.33896318472136,8,666,989,3.08
631.1604,-0.106,627.6178597356551,66.77778574492778,9,666,989,3.08
627.2882,-0.1167,623.0215610425835,73.03848530262975,10,666,989,3.08
623.7427,-0.1264,618.7665744917031,78.63130480345401,11,666,989,3.08
620.0207,-0.1361,614.2871716666976,84.12454549190271,12,666,989,3.08
615.9115,-0.1454,609.4124201701815,89.23832122228816,13,666,989,3.08
