Z,θ,R,X,f,Re,Ri,Cm
+4.166223453E+02,-1.762857454E-01,410.165476483337,73.06476924256697,161,998,668,4.87
+4.164325287E+02,-1.753098779E-01,410.0496755083436,72.63136082284556,162,998,668,4.87
+4.162444121E+02,-1.743516406E-01,409.93382071418466,72.20577012362166,163,998,668,4.87
+4.160628840E+02,-1.733994224E-01,409.82358460905107,71.78407163560337,164,998,668,4.87
+4.158802949E+02,-1.724612712E-01,409.710868103795,71.36822993283289,165,998,668,4.87
+4.157045064E+02,-1.715256353E-01,409.60425454536875,70.9548539537672,166,998,668,4.87
+4.155273131E+02,-1.706019579E-01,409.49499825785466,70.54639844744055,167,998,668,4.87
+4.153540551E+02,-1.696911425E-01,409.3883136490197,70.1441354328761,168,998,668,4.87
+4.151852405E+02,-1.687881978E-01,409.2850674410967,69.74609307179686,169,998,668,4.87
+4.150210489E+02,-1.678921625E-01,409.1855151584635,69.35189409496327,170,998,668,4.87
+4.148558186E+02,-1.670103472E-01,409.0835803091593,68.96357406425311,171,998,668,4.87
+4.146941644E+02,-1.661302495E-01,408.98468799413655,68.57678159372168,172,998,668,4.87
+4.145368643E+02,-1.652661962E-01,408.8886324869071,68.19749325791682,173,998,668,4.87
+4.143812409E+02,-1.644112025E-01,408.7932666529778,67.8224000534576,174,998,668,4.87
+4.142260674E+02,-1.635584232E-01,408.69785296898675,67.44849807230577,175,998,668,4.87
+4.140769942E+02,-1.627168288E-01,408.60736844175807,67.0803665822438,176,998,668,4.87
+4.139283708E+02,-1.618816961E-01,408.51656669188446,66.7151473911089,177,998,668,4.87
+4.137831222E+02,-1.610578630E-01,408.4280213812476,66.35528289578178,178,998,668,4.87
+4.136387824E+02,-1.602415543E-01,408.3395610602246,65.99882709940894,179,998,668,4.87
+4.134937187E+02,-1.594328584E-01,408.2495765836838,65.64555296132117,180,998,668,4.87
+4.133598135E+02,-1.586306096E-01,408.16988531196745,65.29686164870483,181,998,668,4.87
+4.132195089E+02,-1.578340183E-01,408.08321009420075,64.94964337676983,182,998,668,4.87
+4.130866203E+02,-1.570503513E-01,408.0027305428197,64.60903760682122,183,998,668,4.87
+4.129549530E+02,-1.562675584E-01,407.9231180880292,64.26914451408246,184,998,668,4.87
+4.128226282E+02,-1.554976323E-01,407.8417514231049,63.93456146787722,185,998,668,4.87
+4.126963688E+02,-1.547322544E-01,407.7658151037208,63.602931170692464,186,998,668,4.87
+4.125671243E+02,-1.539755857E-01,407.6861092845313,63.274547407412165,187,998,668,4.87
+4.124419225E+02,-1.532267721E-01,407.60964092078757,62.950139506776445,188,998,668,4.87
