X,Y,Z,Impedance,Phase shift,Measured Freq,AC Freq,GF,SystemPS
-34,-93,0,554.169,-0.01,39,,,
-64,-76,0,554.558,-0.01,39,,,
-86,-49,0,553.365,-0.01,39,,,
-98,-17,0,553.764,-0.01,39,,,
-98,17,0,553.375,-0.01,39,,,
98,-18,0,554.428,-0.01,40,,,
85,-51,0,553.546,-0.01,40,,,
63,-77,0,553.649,-0.01,40,,,
32,-94,0,553.668,-0.01,40,,,
-19,-98,0,553.434,-0.01,40,,,
-51,-85,0,552.91,-0.01,40,,,
-77,-62,0,553.77,-0.01,40,,,
-94,-32,0,554.728,-0.01,40,,,
-99,1,0,554.709,-0.01,40,,,
84,-52,0,554.418,-0.01,41,,,
74,-66,0,554.396,-0.01,41,,,
31,-95,0,554.239,-0.01,41,,,
14,-99,0,554.261,-0.01,41,,,
-37,-92,0,554.821,-0.01,41,,,
-53,-84,0,554.888,-0.01,41,,,
-67,-74,0,554.753,-0.01,41,,,
-88,-46,0,554.061,-0.01,41,,,
-95,-30,0,554.105,-0.01,41,,,
-99,-13,0,554.753,-0.01,41,,,
-97,20,0,554.128,-0.01,41,,,
-92,37,0,554.664,-0.01,41,,,
60,-79,0,554.703,-0.01,42,,,
45,-89,0,554.344,-0.01,42,,,
-5,-99,0,554.412,-0.01,42,,,
-22,-97,0,554.65,-0.01,42,,,
-39,-91,0,554.566,-0.01,42,,,
-79,-60,0,554.523,-0.01,42,,,
-89,-45,0,554.318,-0.01,42,,,
-99,5,0,554.455,-0.01,42,,,
-97,22,0,555.147,-0.01,42,,,
82,-55,0,554.024,-0.01,43,,,
72,-69,0,553.875,-0.01,43,,,
27,-96,0,554.165,-0.01,43,,,
10,-99,0,554.946,-0.01,43,,,
-56,-82,0,554.756,-0.01,43,,,
-69,-71,0,554.296,-0.01,43,,,
-96,-27,0,553.853,-0.01,43,,,
-99,-10,0,554.216,-0.01,43,,,
57,-81,0,554.759,-0.01,44,,,
42,-90,0,553.885,-0.01,44,,,
-8,-99,0,553.885,-0.01,44,,,
-26,-96,0,554.323,-0.01,44,,,
-81,-57,0,554.214,-0.01,44,,,
-90,-42,0,553.89,-0.01,44,,,
-99,8,0,553.779,-0.01,44,,,
-96,25,0,554.323,-0.01,44,,,
80,-58,0,554.206,-0.01,45,,,
69,-71,0,554.311,-0.01,45,,,
24,-96,0,554.279,-0.01,45,,,
7,-99,0,554.565,-0.01,45,,,
-43,-89,0,554.206,-0.01,45,,,
-58,-80,0,554.311,-0.01,45,,,
-97,-24,0,553.876,-0.01,45,,,
89,-45,0,554.1,-0.01,46,,,
54,-83,0,554.239,-0.01,46,,,
39,-91,0,554.249,-0.01,46,,,
-12,-99,0,554.388,-0.01,46,,,
-29,-95,0,553.909,-0.01,46,,,
-73,-68,0,553.589,-0.01,46,,,
-83,-54,0,554.528,-0.01,46,,,
-99,-5,0,554.1,-0.01,46,,,
-99,12,0,554.058,-0.01,46,,,
78,-61,0,553.572,-0.01,47,,,
20,-97,0,554.33,-0.01,47,,,
-47,-88,0,553.996,-0.01,47,,,
-61,-78,0,554.405,-0.01,47,,,
-92,-37,0,554.072,-0.01,47,,,
-97,-20,0,553.89,-0.01,47,,,
-95,30,0,554.436,-0.01,47,,,
65,-75,0,554.123,-0.02,48,,,
51,-85,0,554.2,-0.02,48,,,
1,-99,0,553.913,-0.02,48,,,
-15,-98,0,554.123,-0.02,48,,,
-32,-94,0,553.935,-0.01,48,,,
